,sim_vec_file,model,performance
85,www.eglobalcentral.co.uk_cammarkt.com.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,0.9090909090909091
86,www.garricks.com.au_www.canon-europe.com.csv,Original cluster model www.ebay.com_www.pcconnection.com.csv,0.8
87,www.garricks.com.au_www.priceme.co.nz.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.9107142857142857
88,buy.net_www.henrys.com.csv,Original cluster model buy.net_www.henrys.com.csv,0.9322033898305084
89,www.shopbot.com.au_www.gosale.com.csv,Original cluster model www.ebay.com_www.priceme.co.nz.csv,0.9015873015873016
90,www.camerafarm.com.au_www.canon-europe.com.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,0.1739130434782609
91,www.ilgs.net_cammarkt.com.csv,Original cluster model buy.net_cammarkt.com.csv,0.5714285714285714
92,buy.net_www.pcconnection.com.csv,Original cluster model buy.net_www.pcconnection.com.csv,0.9322033898305085
93,www.canon-europe.com_www.price-hunt.com.csv,Original cluster model buy.net_www.henrys.com.csv,0.975609756097561
94,www.ilgs.net_www.pcconnection.com.csv,Original cluster model buy.net_www.pcconnection.com.csv,0.7499999999999999
95,www.garricks.com.au_www.shopbot.com.au.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.9158878504672897
96,www.buzzillions.com_buy.net.csv,Original cluster model www.buzzillions.com_buy.net.csv,0.9583333333333334
97,www.buzzillions.com_www.eglobalcentral.co.uk.csv,Original cluster model www.ebay.com_cammarkt.com.csv,0.85
98,www.henrys.com_www.pcconnection.com.csv,Original cluster model buy.net_www.pcconnection.com.csv,0.8135593220338982
99,www.camerafarm.com.au_www.ilgs.net.csv,Original cluster model www.shopbot.com.au_www.henrys.com.csv,0.5
100,www.buzzillions.com_www.ilgs.net.csv,Original cluster model www.ebay.com_www.gosale.com.csv,0.7499999999999999
101,www.wexphotographic.com_www.gosale.com.csv,Original cluster model buy.net_www.gosale.com.csv,0.7777777777777778
102,www.camerafarm.com.au_www.shopbot.com.au.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.8205128205128205
103,www.ilgs.net_www.price-hunt.com.csv,Original cluster model buy.net_www.henrys.com.csv,0.8799999999999999
104,www.gosale.com_www.henrys.com.csv,Original cluster model www.ebay.com_cammarkt.com.csv,0.8059701492537313
105,www.canon-europe.com_www.ilgs.net.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,0.5714285714285714
106,www.buzzillions.com_www.gosale.com.csv,Original cluster model www.ebay.com_www.gosale.com.csv,0.871508379888268
107,www.ebay.com_www.price-hunt.com.csv,Original cluster model www.buzzillions.com_www.ebay.com.csv,0.8888888888888887
108,www.wexphotographic.com_www.eglobalcentral.co.uk.csv,Original cluster model www.eglobalcentral.co.uk_www.price-hunt.com.csv,0.8292682926829268
109,www.priceme.co.nz_cammarkt.com.csv,Original cluster model www.buzzillions.com_www.priceme.co.nz.csv,0.8470588235294118
110,www.buzzillions.com_www.camerafarm.com.au.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.896551724137931
111,buy.net_www.gosale.com.csv,Original cluster model buy.net_www.gosale.com.csv,0.9587628865979382
112,buy.net_www.wexphotographic.com.csv,Original cluster model buy.net_www.price-hunt.com.csv,0.9069767441860465
113,www.shopbot.com.au_www.henrys.com.csv,Original cluster model www.shopbot.com.au_www.henrys.com.csv,0.9268292682926829
114,www.henrys.com_www.priceme.co.nz.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.848
115,www.canon-europe.com_www.gosale.com.csv,Original cluster model buy.net_www.gosale.com.csv,0.8750000000000001
116,buy.net_www.price-hunt.com.csv,Original cluster model buy.net_www.price-hunt.com.csv,0.9019607843137255
117,www.camerafarm.com.au_www.wexphotographic.com.csv,Original cluster model buy.net_www.camerafarm.com.au.csv,0.9189189189189189
118,www.henrys.com_www.price-hunt.com.csv,Original cluster model buy.net_www.henrys.com.csv,0.8571428571428572
119,www.camerafarm.com.au_www.priceme.co.nz.csv,Original cluster model www.shopbot.com.au_www.priceme.co.nz.csv,0.8205128205128205
